date,type,home_team,away_team,reason
2025-11-13,score_no_prediction,Michigan State Spartans,San José State Spartans,Game completed but not in predictions
2025-11-13,prediction_no_score,Cornell Big Red,Lafayette Leopards,Prediction exists but game not completed (postponed?)
2025-11-13,prediction_no_score,Pittsburgh Panthers,West Virginia Mountaineers,Prediction exists but game not completed (postponed?)
2025-11-13,prediction_no_score,UMass Lowell River Hawks,Columbia Lions,Prediction exists but game not completed (postponed?)
2025-11-13,prediction_no_score,Le Moyne Dolphins,Massachusetts Minutemen,Prediction exists but game not completed (postponed?)
2025-11-13,prediction_no_score,Alcorn St Braves,Howard Bison,Prediction exists but game not completed (postponed?)
2025-11-13,prediction_no_score,Monmouth Hawks,Seton Hall Pirates,Prediction exists but game not completed (postponed?)
2025-11-13,prediction_no_score,Loyola (Chi) Ramblers,Wichita St Shockers,Prediction exists but game not completed (postponed?)
2025-11-13,prediction_no_score,Southern Miss Golden Eagles,Grambling St Tigers,Prediction exists but game not completed (postponed?)
2025-11-13,prediction_no_score,Florida Int'l Golden Panthers,LSU Tigers,Prediction exists but game not completed (postponed?)
2025-11-13,prediction_no_score,Green Bay Phoenix,St. Thomas (MN) Tommies,Prediction exists but game not completed (postponed?)
2025-11-13,prediction_no_score,Charleston Southern Buccaneers,Alabama A&M Bulldogs,Prediction exists but game not completed (postponed?)
2025-11-13,prediction_no_score,California Golden Bears,Kansas St Wildcats,Prediction exists but game not completed (postponed?)
2025-11-13,prediction_no_score,Central Michigan Chippewas,South Alabama Jaguars,Prediction exists but game not completed (postponed?)
2025-11-14,score_no_prediction,Duke Blue Devils,Indiana State Sycamores,Game completed but not in predictions
2025-11-14,score_no_prediction,Arizona State Sun Devils,Gonzaga Bulldogs,Game completed but not in predictions
2025-11-14,score_no_prediction,Creighton Bluejays,Maryland Eastern Shore Hawks,Game completed but not in predictions
2025-11-14,prediction_no_score,IUPUI Jaguars,Eastern Michigan Eagles,Prediction exists but game not completed (postponed?)
2025-11-14,prediction_no_score,Charleston Southern Buccaneers,Lindenwood Lions,Prediction exists but game not completed (postponed?)
2025-11-14,prediction_no_score,Lehigh Mountain Hawks,Rutgers Scarlet Knights,Prediction exists but game not completed (postponed?)
2025-11-14,prediction_no_score,Stonehill Skyhawks,Fairfield Stags,Prediction exists but game not completed (postponed?)
2025-11-14,prediction_no_score,South Carolina St Bulldogs,Charleston Cougars,Prediction exists but game not completed (postponed?)
2025-11-14,prediction_no_score,Furman Paladins,Northern Iowa Panthers,Prediction exists but game not completed (postponed?)
2025-11-14,prediction_no_score,The Citadel Bulldogs,West Georgia Wolves,Prediction exists but game not completed (postponed?)
2025-11-14,prediction_no_score,Louisiana Ragin' Cajuns,McNeese Cowboys,Prediction exists but game not completed (postponed?)
2025-11-14,prediction_no_score,Norfolk St Spartans,Towson Tigers,Prediction exists but game not completed (postponed?)
2025-11-14,prediction_no_score,Hofstra Pride,Bucknell Bison,Prediction exists but game not completed (postponed?)
2025-11-14,prediction_no_score,Albany Great Danes,Rhode Island Rams,Prediction exists but game not completed (postponed?)
2025-11-14,prediction_no_score,Fordham Rams,Iona Gaels,Prediction exists but game not completed (postponed?)
2025-11-14,prediction_no_score,Coastal Carolina Chanticleers,Jacksonville St Gamecocks,Prediction exists but game not completed (postponed?)
2025-11-14,prediction_no_score,Indiana St Sycamores,Duke Blue Devils,Prediction exists but game not completed (postponed?)
2025-11-14,prediction_no_score,CSU Bakersfield Roadrunners,Ole Miss Rebels,Prediction exists but game not completed (postponed?)
2025-11-14,prediction_no_score,High Point Panthers,UAB Blazers,Prediction exists but game not completed (postponed?)
